"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"","1315","html-keyboard-response","415","432815","0.0-15.0-2.27","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","mask grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","onmask","800","p","6","Phylogenetic","true","experimental"
"","null","html-keyboard-response","416","433520","0.0-15.0-0.28","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","417","434322","0.0-15.0-1.28","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","1079","html-keyboard-response","418","434602","0.0-15.0-2.28","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","mask grid","q","","","","","Phylogenetic_Distractor_Threat_target","onmask","800","q","2","Phylogenetic","true","experimental"
"","null","html-keyboard-response","419","435308","0.0-15.0-0.29","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","420","436110","0.0-15.0-1.29","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","1342","html-keyboard-response","421","436653","0.0-15.0-2.29","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","mask grid"," ","","","","","Phylogenetic_Distractor_Nonthreat_target","onmask","800","p","6","Phylogenetic","false","experimental"
"","null","html-keyboard-response","422","437358","0.0-15.0-0.30","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","423","438161","0.0-15.0-1.30","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","1149","html-keyboard-response","424","438511","0.0-15.0-2.30","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","mask grid","q","","","","","Phylogenetic_Distractor_Threat_target","onmask","800","q","8","Phylogenetic","true","experimental"
"","null","html-keyboard-response","425","439216","0.0-15.0-0.31","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","426","440018","0.0-15.0-1.31","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","1458","html-keyboard-response","427","440677","0.0-15.0-2.31","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","mask grid","p","","","","","Phylogenetic_Distractor_notarget","onmask","800"," ","7","Phylogenetic","false","experimental"
"","null","html-keyboard-response","428","441382","0.0-15.0-0.32","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","429","442185","0.0-15.0-1.32","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
