"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"","null","html-keyboard-response","549","598590","0.0-17.0-0.32","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","fixation cross","null","","","","","","","","","","","",""
"","788","html-keyboard-response","550","599379","0.0-17.0-1.32","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","ongrid","2500","q","4","Phylogenetic","true","experimental"
"","null","html-keyboard-response","551","599554","0.0-17.0-2.32","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","552","600293","0.0-17.0-0.33","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","fixation cross","null","","","","","","","","","","","",""
"","802","html-keyboard-response","553","601095","0.0-17.0-1.33","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","ongrid","2500","q","8","Phylogenetic","true","experimental"
"","null","html-keyboard-response","554","601271","0.0-17.0-2.33","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","555","601991","0.0-17.0-0.34","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","fixation cross","null","","","","","","","","","","","",""
"","1487","html-keyboard-response","556","603478","0.0-17.0-1.34","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","ongrid","2500","p","2","Phylogenetic","true","experimental"
"","null","html-keyboard-response","557","603638","0.0-17.0-2.34","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","558","604376","0.0-17.0-0.35","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","fixation cross","null","","","","","","","","","","","",""
